Library,Name,Sequence,Left Overhang,Right Overhang,Type,Resistance,Level,Vector,Composition
x,R1,,,,RBS,,,,R1|+
x,R2,,,,RBS,,,,R2|+
x,R3,,,,RBS,,,,R3|+
x,R4,,,,RBS,,,,R4|+
x,P1,,,,promoter,,,,P1|+
x,P1,,0,1,plasmid,,,pSB1C3,P1|0|1|+
x,R1,,1,2,plasmid,,,pSB1C3,R1|1|2|+
x,C1,,2,3,plasmid,,,pSB1C3,C1|2|3|+
x,R3,,1,2,plasmid,,,pSB1C3,R3|1|2|+
x,R2,,1,2,plasmid,,,pSB1C3,R2|1|2|+
x,R5,,1,2,plasmid,,,pSB1C3,R5|1|2|+
x,R4,,1,2,plasmid,,,pSB1C3,R4|1|2|+
x,R5,,,,RBS,,,,R5|+
x,T1,,3,4,plasmid,,,pSB1C3,T1|3|4|+
x,LacZ,,,,gene,,,,LacZ|+
x,T1,,,,terminator,,,,T1|+
x,C1,,,,gene,,,,C1|+
x,pSB1K3,,,,vector,kanamycin,,,
x,pSB1C3,,1,2,destination vector,chloramphenicol,,pSB1C3,LacZ
x,pSB1C3,,0,1,destination vector,chloramphenicol,,pSB1C3,LacZ
x,pSB1C3,,3,4,destination vector,chloramphenicol,,pSB1C3,LacZ
x,pSB1C3,,2,3,destination vector,chloramphenicol,,pSB1C3,LacZ
x,pSB1K3,,0,4,destination vector,kanamycin,,pSB1K3,LacZ
x,pSB1C3,,,,vector,chloramphenicol,,,
x,PSM-2,,0,4,plasmid,,,pSB1K3,P1|0|1|+, R2|1|2|+, C1|2|3|+, T1|3|4|+
x,PSM-4,,0,4,plasmid,,,pSB1K3,P1|0|1|+, R4|1|2|+, C1|2|3|+, T1|3|4|+
x,PSM-3,,0,4,plasmid,,,pSB1K3,P1|0|1|+, R3|1|2|+, C1|2|3|+, T1|3|4|+
x,PSM-5,,0,4,plasmid,,,pSB1K3,P1|0|1|+, R5|1|2|+, C1|2|3|+, T1|3|4|+
x,PSM-1,,0,4,plasmid,,,pSB1K3,P1|0|1|+, R1|1|2|+, C1|2|3|+, T1|3|4|+
####
{"discouraged":"","recommended":"","required":"","forbidden":""}
